id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_permukaan,panjang_ruas_jalan,satuan,tahun
192,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAINNYA,3.37,KILOMETER,2021
193,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,ASPAL,115.8,KILOMETER,2021
194,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TIDAK DI ASPAL,0.0,KILOMETER,2021
195,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAINNYA,0.0,KILOMETER,2021
196,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,ASPAL,157.49,KILOMETER,2021
197,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TIDAK DI ASPAL,0.0,KILOMETER,2021
198,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAINNYA,0.6,KILOMETER,2021
199,32,JAWA BARAT,3213,KABUPATEN SUBANG,ASPAL,133.29,KILOMETER,2021
200,32,JAWA BARAT,3213,KABUPATEN SUBANG,TIDAK DI ASPAL,0.0,KILOMETER,2021
201,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAINNYA,34.89,KILOMETER,2021
202,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,ASPAL,57.27,KILOMETER,2021
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TIDAK DI ASPAL,0.0,KILOMETER,2021
204,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAINNYA,13.24,KILOMETER,2021
205,32,JAWA BARAT,3215,KABUPATEN KARAWANG,ASPAL,31.16,KILOMETER,2021
206,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TIDAK DI ASPAL,0.0,KILOMETER,2021
207,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAINNYA,48.67,KILOMETER,2021
208,32,JAWA BARAT,3216,KABUPATEN BEKASI,ASPAL,10.3,KILOMETER,2021
209,32,JAWA BARAT,3216,KABUPATEN BEKASI,TIDAK DI ASPAL,0.0,KILOMETER,2021
210,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAINNYA,21.23,KILOMETER,2021
211,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,ASPAL,61.85,KILOMETER,2021
212,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TIDAK DI ASPAL,0.0,KILOMETER,2021
213,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAINNYA,11.33,KILOMETER,2021
214,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,ASPAL,8.89,KILOMETER,2021
215,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TIDAK DI ASPAL,0.0,KILOMETER,2021
216,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAINNYA,0.0,KILOMETER,2021
217,32,JAWA BARAT,3271,KOTA BOGOR,ASPAL,11.16,KILOMETER,2021
218,32,JAWA BARAT,3271,KOTA BOGOR,TIDAK DI ASPAL,0.0,KILOMETER,2021
219,32,JAWA BARAT,3271,KOTA BOGOR,LAINNYA,0.0,KILOMETER,2021
220,32,JAWA BARAT,3272,KOTA SUKABUMI,ASPAL,26.29,KILOMETER,2021
221,32,JAWA BARAT,3272,KOTA SUKABUMI,TIDAK DI ASPAL,0.0,KILOMETER,2021
222,32,JAWA BARAT,3272,KOTA SUKABUMI,LAINNYA,7.07,KILOMETER,2021
223,32,JAWA BARAT,3273,KOTA BANDUNG,ASPAL,37.93,KILOMETER,2021
224,32,JAWA BARAT,3273,KOTA BANDUNG,TIDAK DI ASPAL,0.0,KILOMETER,2021
225,32,JAWA BARAT,3273,KOTA BANDUNG,LAINNYA,0.52,KILOMETER,2021
226,32,JAWA BARAT,3274,KOTA CIREBON,ASPAL,5.95,KILOMETER,2021
227,32,JAWA BARAT,3274,KOTA CIREBON,TIDAK DI ASPAL,0.0,KILOMETER,2021
228,32,JAWA BARAT,3274,KOTA CIREBON,LAINNYA,0.6,KILOMETER,2021
229,32,JAWA BARAT,3275,KOTA BEKASI,ASPAL,15.76,KILOMETER,2021
230,32,JAWA BARAT,3275,KOTA BEKASI,TIDAK DI ASPAL,0.0,KILOMETER,2021
231,32,JAWA BARAT,3275,KOTA BEKASI,LAINNYA,6.2,KILOMETER,2021
232,32,JAWA BARAT,3276,KOTA DEPOK,ASPAL,8.93,KILOMETER,2021
233,32,JAWA BARAT,3276,KOTA DEPOK,TIDAK DI ASPAL,0.0,KILOMETER,2021
234,32,JAWA BARAT,3276,KOTA DEPOK,LAINNYA,2.8,KILOMETER,2021
235,32,JAWA BARAT,3277,KOTA CIMAHI,ASPAL,10.11,KILOMETER,2021
236,32,JAWA BARAT,3277,KOTA CIMAHI,TIDAK DI ASPAL,0.0,KILOMETER,2021
237,32,JAWA BARAT,3277,KOTA CIMAHI,LAINNYA,0.75,KILOMETER,2021
238,32,JAWA BARAT,3278,KOTA TASIKMALAYA,ASPAL,38.25,KILOMETER,2021
239,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TIDAK DI ASPAL,0.0,KILOMETER,2021
240,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAINNYA,0.0,KILOMETER,2021
241,32,JAWA BARAT,3279,KOTA BANJAR,ASPAL,8.97,KILOMETER,2021
242,32,JAWA BARAT,3279,KOTA BANJAR,TIDAK DI ASPAL,0.0,KILOMETER,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,LAINNYA,0.0,KILOMETER,2021
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,ASPAL,82.35,KILOMETER,2022
245,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK DI ASPAL,0.0,KILOMETER,2022
246,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAINNYA,50.46,KILOMETER,2022
247,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,ASPAL,305.36,KILOMETER,2022
248,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK DI ASPAL,0.0,KILOMETER,2022
249,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAINNYA,8.56,KILOMETER,2022
250,32,JAWA BARAT,3203,KABUPATEN CIANJUR,ASPAL,131.72,KILOMETER,2022
251,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK DI ASPAL,0.0,KILOMETER,2022
